e,dictionary,dict/mathematical-constants,dictionary-mathematical-constants
pi,dictionary,dict/mathematical-constants,dictionary-mathematical-constants
false,dictionary,dict/boolean-constants,dictionary-boolean-constants
true,dictionary,dict/boolean-constants,dictionary-boolean-constants
black,dictionary,dict/color-constants,dictionary-color-constants
gray,dictionary,dict/color-constants,dictionary-color-constants
white,dictionary,dict/color-constants,dictionary-color-constants
red,dictionary,dict/color-constants,dictionary-color-constants
orange,dictionary,dict/color-constants,dictionary-color-constants
brown,dictionary,dict/color-constants,dictionary-color-constants
yellow,dictionary,dict/color-constants,dictionary-color-constants
green,dictionary,dict/color-constants,dictionary-color-constants
lime,dictionary,dict/color-constants,dictionary-color-constants
turquoise,dictionary,dict/color-constants,dictionary-color-constants
cyan,dictionary,dict/color-constants,dictionary-color-constants
sky,dictionary,dict/color-constants,dictionary-color-constants
blue,dictionary,dict/color-constants,dictionary-color-constants
violet,dictionary,dict/color-constants,dictionary-color-constants
magenta,dictionary,dict/color-constants,dictionary-color-constants
pink,dictionary,dict/color-constants,dictionary-color-constants
abs,dictionary,dict/abs,dictionary-abs
acos,dictionary,dict/acos,dictionary-acos
all?,dictionary,dict/all,dictionary-all
and,dictionary,dict/and,dictionary-and
any?,dictionary,dict/any,dictionary-any
approximate-hsb,dictionary,dict/approximate-hsb,dictionary-approximate-hsb
approximate-rgb,dictionary,dict/approximate-rgb,dictionary-approximate-rgb
Arithmetic Operators,dictionary,dict/symbols,dictionary-symbols
+,dictionary,dict/symbols,dictionary-symbols
*,dictionary,dict/symbols,dictionary-symbols
-,dictionary,dict/symbols,dictionary-symbols
/,dictionary,dict/symbols,dictionary-symbols
^,dictionary,dict/symbols,dictionary-symbols
<,dictionary,dict/symbols,dictionary-symbols
>,dictionary,dict/symbols,dictionary-symbols
=,dictionary,dict/symbols,dictionary-symbols
!=,dictionary,dict/symbols,dictionary-symbols
<=,dictionary,dict/symbols,dictionary-symbols
>=,dictionary,dict/symbols,dictionary-symbols
asin,dictionary,dict/asin,dictionary-asin
ask,dictionary,dict/ask,dictionary-ask
ask-concurrent,dictionary,dict/ask-concurrent,dictionary-ask-concurrent
at-points,dictionary,dict/at-points,dictionary-at-points
atan,dictionary,dict/atan,dictionary-atan
autoplot?,dictionary,dict/autoplot,dictionary-autoplot
autoplotx?,dictionary,dict/autoplot,dictionary-autoplot
autoploty?,dictionary,dict/autoplot,dictionary-autoplot
auto-plot-off,dictionary,dict/auto-plot-status,dictionary-auto-plot-status
auto-plot-x-off,dictionary,dict/auto-plot-status,dictionary-auto-plot-status
auto-plot-y-off,dictionary,dict/auto-plot-status,dictionary-auto-plot-status
auto-plot-on,dictionary,dict/auto-plot-status,dictionary-auto-plot-status
auto-plot-x-on,dictionary,dict/auto-plot-status,dictionary-auto-plot-status
auto-plot-y-on,dictionary,dict/auto-plot-status,dictionary-auto-plot-status
back,dictionary,dict/back,dictionary-back
bk,dictionary,dict/back,dictionary-back
base-colors,dictionary,dict/base-colors,dictionary-base-colors
beep,dictionary,dict/beep,dictionary-beep
behaviorspace-experiment-name,dictionary,dict/behaviorspace-experiment-name,dictionary-behaviorspace-experiment-name
behaviorspace-run-number,dictionary,dict/behaviorspace-run-number,dictionary-behaviorspace-run-number
both-ends,dictionary,dict/both-ends,dictionary-both-ends
breed,dictionary,dict/breedvar,dictionary-breedvar
breed,dictionary,dict/breed,dictionary-breed
but-first,dictionary,dict/but-first-and-last,dictionary-but-first-and-last
butfirst,dictionary,dict/but-first-and-last,dictionary-but-first-and-last
bf,dictionary,dict/but-first-and-last,dictionary-but-first-and-last
but-last,dictionary,dict/but-first-and-last,dictionary-but-first-and-last
butlast,dictionary,dict/but-first-and-last,dictionary-but-first-and-last
bl,dictionary,dict/but-first-and-last,dictionary-but-first-and-last
can-move?,dictionary,dict/can-move,dictionary-can-move
carefully,dictionary,dict/carefully,dictionary-carefully
ceiling,dictionary,dict/ceiling,dictionary-ceiling
clear-all,dictionary,dict/clear-all,dictionary-clear-all
ca,dictionary,dict/clear-all,dictionary-clear-all
clear-all-plots,dictionary,dict/clear-all-plots,dictionary-clear-all-plots
clear-drawing,dictionary,dict/clear-drawing,dictionary-clear-drawing
cd,dictionary,dict/clear-drawing,dictionary-clear-drawing
clear-globals,dictionary,dict/clear-globals,dictionary-clear-globals
clear-links,dictionary,dict/clear-links,dictionary-clear-links
clear-output,dictionary,dict/clear-output,dictionary-clear-output
